leader protein,leader
nsp2,nsp2
nsp3,nsp3
nsp4,nsp4
3C-like proteinase,proteinase
nsp6,nsp6
nsp7,nsp7
nsp8,nsp8
nsp9,nsp9
nsp10,nsp10
RNA-dependent RNA polymerase,RDRp
helicase,helicase
3'-to-5' exonuclease,exonuclease
endoRNAse,endoRNAse
2'-O-ribose methyltransferase,methyltransferase
nsp11,nsp11
surface glycoprotein,S
ORF3a protein,orf3a
envelope protein,E
membrane glycoprotein,M
ORF6 protein,orf6
ORF7a protein,orf7a
ORF7b,orf7b,
ORF8 protein,orf8
nucleocapsid phosphoprotein,N
ORF10 protein,orf10
